iter	Passed	Remaining
0	152	152554
1	153	76628
2	154	51257
3	154	38589
4	155	30987
5	156	25932
6	157	22320
7	158	19635
8	159	17543
9	160	15892
10	161	14534
11	162	13417
12	163	12432
13	164	11591
14	165	10851
15	165	10201
16	166	9634
17	167	9129
18	167	8666
19	168	8254
20	169	7879
21	169	7545
22	170	7239
23	173	7065
24	176	6883
25	178	6673
26	179	6459
27	180	6250
28	180	6054
29	181	5870
30	182	5705
31	183	5544
32	183	5391
33	184	5243
34	185	5106
35	186	4987
36	187	4879
37	189	4785
38	191	4706
39	192	4614
40	194	4544
41	195	4455
42	196	4368
43	197	4281
44	197	4196
45	198	4117
46	199	4040
47	200	3972
48	201	3904
49	202	3851
50	204	3803
51	205	3751
52	206	3698
53	207	3643
54	208	3589
55	210	3540
56	210	3488
57	211	3435
58	212	3386
59	213	3340
60	214	3294
61	215	3254
62	215	3210
63	216	3165
64	217	3123
65	217	3082
66	218	3042
67	219	3002
68	219	2965
69	220	2929
70	221	2899
71	222	2865
72	223	2832
73	223	2801
74	224	2768
75	225	2735
76	225	2704
77	226	2674
78	226	2644
79	227	2614
80	227	2586
81	228	2560
82	229	2532
83	230	2508
84	230	2484
85	231	2462
86	232	2439
87	233	2416
88	233	2393
89	234	2371
90	235	2353
91	236	2334
92	237	2315
93	238	2295
94	238	2276
95	239	2255
96	240	2235
97	240	2215
98	241	2196
99	242	2179
100	242	2160
101	243	2142
102	244	2127
103	245	2111
104	245	2095
105	246	2079
106	247	2063
107	247	2047
108	248	2032
109	249	2020
110	250	2007
111	251	1994
112	252	1981
113	253	1966
114	253	1954
115	254	1940
116	255	1925
117	255	1911
118	256	1897
119	256	1884
120	257	1871
121	258	1857
122	258	1845
123	259	1836
124	260	1824
125	261	1814
126	262	1801
127	262	1790
128	263	1782
129	264	1773
130	265	1763
131	266	1752
132	267	1741
133	267	1730
134	268	1721
135	269	1710
136	270	1701
137	270	1691
138	271	1681
139	272	1670
140	272	1660
141	273	1650
142	273	1642
143	274	1632
144	275	1623
145	276	1615
146	277	1608
147	278	1601
148	278	1592
149	279	1583
150	280	1576
151	281	1568
152	281	1560
153	282	1552
154	283	1544
155	284	1536
156	284	1528
157	285	1519
158	285	1511
159	286	1503
160	286	1494
161	287	1486
162	287	1478
163	288	1472
164	289	1467
165	290	1460
166	291	1454
167	292	1447
168	293	1441
169	293	1434
170	294	1427
171	295	1421
172	296	1415
173	296	1409
174	297	1402
175	298	1396
176	299	1390
177	299	1384
178	300	1377
